Name,Age,Nationality,Overall,Position,Value,Preferred Foot,Height,Weight,Position_Type
Bruno Gallo,30,Brazil,70,RCM,1.6,Left,71,172,Midfield
M. Peybernès,27,France,70,CB,1.7,Right,74,170,Defense
T. Schröck,25,Germany,70,CB,2,Right,74,185,Defense
I. Brown,21,England,70,CAM,2.9,Right,72,154,Midfield
J. Morris,23,United States,70,ST,2.5,Right,72,185,Attack
J. Taravel,31,France,70,LCB,1.2,Left,75,187,Defense
A. Lusamba,21,France,70,RCM,2.8,Right,70,163,Midfield
Felipe,30,Brazil,70,LCB,1.3,Right,74,185,Defense
Z. Touré,28,Senegal,70,RCB,1.6,Right,72,174,Defense
I. Hajrović,26,Bosnia Herzegovina,70,RM,1.9,Left,70,159,Midfield
T. Kempe,29,Germany,70,RDM,1.7,Right,72,170,Midfield
V. Giraldo,32,Colombia,70,RB,975,Right,70,163,Defense
A. Wooten,28,United States,70,LS,1.8,Right,73,187,Attack
U. Đurđević,24,Serbia,70,ST,2.4,Right,72,181,Attack
A. Bastía,39,Argentina,70,CDM,120,Right,70,163,Midfield
S. Allagui,32,Tunisia,70,ST,1.4,Right,70,170,Attack
M. Müller,24,Germany,70,GK,1.7,Right,76,198,Defense
P. Galdames,21,Chile,70,CM,2.8,Right,69,150,Midfield
O. Benítez,25,Argentina,70,RW,2.2,Right,72,185,Attack
E. Löwen,21,Germany,70,CDM,2.5,Right,74,201,Midfield
I. Sylla,27,Guinea,70,ST,1.9,Left,73,161,Attack
A. Tziolis,33,Greece,70,CB,725,Right,75,198,Defense
J. Une Larsson,24,Sweden,70,RB,2,Right,71,163,Defense
Pedro Pinto,23,Portugal,70,CB,2,Right,74,172,Defense
G. Hairemans,26,Belgium,70,CAM,2.1,Left,72,168,Midfield
E. Oztumer,27,England,70,CAM,2,Left,63,132,Midfield
S. Mugoša,26,Montenegro,70,ST,2.2,Right,74,176,Attack
O. Oularé,22,Belgium,70,ST,2.5,Right,77,218,Attack
T. Sparv,31,Finland,70,CM,1.5,Left,76,185,Midfield
Matheus,26,Brazil,70,CB,1.8,Left,76,194,Defense
M. Jurman,28,Australia,70,LCB,1.4,Left,75,192,Defense
F. Malbašić,25,Serbia,70,RS,2.3,Right,72,174,Attack
N. Domínguez,20,Argentina,70,LCM,3.1,Right,70,161,Midfield
J. Ramaré,34,France,70,RDM,550,Right,71,163,Midfield
Yang Han Been,26,Korea Republic,70,GK,1.5,Right,77,198,Defense
S. Magnasco,25,Chile,70,RB,1.7,Right,69,159,Defense
L. Mancuso,26,Italy,70,LW,2.1,Right,72,170,Attack
Nuno André Coelho,32,Portugal,70,CB,1,Right,76,181,Defense
E. Ambrose,29,Nigeria,70,RCB,1.4,Right,75,154,Defense
S. Kitsiou,24,Greece,70,RB,1.9,Right,68,154,Defense
Eltson Marques,26,Brazil,70,CB,1.5,Right,74,194,Defense
C. De Norre,21,Belgium,70,LM,2.8,Right,69,159,Midfield
Eloi Amagat,33,Spain,70,CM,1,Right,72,159,Midfield
R. Abdullah,24,Comoros,69,CDM,1.2,Right,71,165,Midfield
M. Ordóñez,28,Colombia,69,RCM,950,Left,71,165,Midfield
L. Robertone,21,Argentina,69,CAM,1.7,Right,68,154,Midfield
I. Mathew,21,Nigeria,69,RCM,1.6,Right,68,154,Midfield
P. Velthuizen,31,Netherlands,69,GK,650,Right,74,194,Defense
K. Erasmus,27,South Africa,69,ST,1.1,Right,66,139,Attack
K. Mokotjo,27,South Africa,69,RDM,1.2,Right,69,159,Midfield
C. Guzmán,24,Mexico,69,RB,1.2,Right,70,154,Defense
A. Fink,30,Germany,69,RS,1,Right,69,163,Attack
D. Łukasik,27,Poland,69,CDM,875,Right,70,161,Midfield
J. Chunga,26,Colombia,69,GK,925,Right,71,176,Defense
C. Lombardi,22,Italy,69,LW,1.4,Right,71,165,Attack
E. Hackman,23,Ghana,69,RB,1.2,Right,74,168,Defense
Aleix Febas,22,Spain,69,RDM,1.6,Right,68,141,Midfield
A. Isak,18,Sweden,69,ST,2.2,Right,75,163,Attack
R. Munsy,28,DR Congo,69,ST,1.1,Right,74,198,Attack
E. Hussain,25,Norway,69,RCM,1.4,Left,69,152,Midfield
Magno,30,Brazil,69,ST,1,Right,70,170,Attack
Álvaro Peña,26,Spain,69,CAM,1.2,Right,70,152,Midfield
B. Riveros,20,Paraguay,69,LB,2.1,Left,70,150,Defense
J. Villota,26,Colombia,69,CAM,1.3,Right,67,152,Midfield
V. Fındıklı,27,Turkey,69,CDM,1,Right,75,185,Midfield
L. Chambers,32,England,69,RCB,600,Right,73,192,Defense
D. Batallini,22,Argentina,69,RW,1.5,Left,69,163,Attack
Z. Zlámal,32,Czech Republic,69,GK,600,Right,76,203,Defense
D. Odoi,30,Belgium,69,RCB,775,Right,70,159,Defense
Juanjo,30,Spain,69,RCM,775,Right,69,148,Midfield
M. Jahfali,27,Saudi Arabia,69,CB,875,Right,73,154,Defense
M. Bunn,33,England,69,GK,525,Right,72,170,Defense
David Batanero,29,Spain,69,LCM,1,Left,73,176,Midfield
M. Lukač,32,Serbia,69,GK,600,Right,78,198,Defense
M. Wilson,30,Republic of Ireland,69,CB,775,Right,74,176,Defense
A. Jansen,29,Netherlands,69,ST,1.1,Right,73,170,Attack
A. Sobiech,28,Poland,69,ST,1.1,Right,73,179,Attack
L. Manyama,27,South Africa,69,CAM,1.1,Left,71,165,Midfield
S. Morison,34,Wales,69,RS,550,Right,74,187,Attack
A. Sepúlveda,27,Mexico,69,RM,1.1,Right,71,165,Midfield
R. Murawski,24,Poland,69,RCM,1.5,Right,68,150,Midfield
Pinillos,25,Spain,69,LB,1.1,Left,72,163,Defense
P. Celeban,33,Poland,69,RCB,425,Right,71,168,Defense
J. Williams,21,England,69,RDM,1.5,Right,70,146,Midfield
N. Fernández,22,Argentina,69,ST,1.6,Right,65,146,Attack
S. Taniguchi,26,Japan,69,LCB,1,Right,72,161,Defense
A. Bogdán,30,Hungary,69,GK,675,Right,76,203,Defense
M. Ritter,23,Germany,69,CAM,1.4,Right,68,159,Midfield
L. Ridgewell,33,England,69,CB,425,Left,74,174,Defense
C. Labrín,27,Chile,69,RCB,1,Right,71,179,Defense
S. Eduok,24,Nigeria,69,RM,1.4,Left,69,181,Midfield
J. Buijs,29,Netherlands,69,CB,825,Right,72,176,Defense
M. Olsson,30,Sweden,69,LB,750,Left,71,150,Defense
M. Murillo,24,Colombia,69,ST,1.4,Right,72,176,Attack
A. Spörle,22,Argentina,69,LB,1.4,Left,73,168,Defense
J. Rodríguez,33,Uruguay,69,CAM,650,Left,68,143,Midfield
B. Halimi,23,Kosovo,69,CM,1.5,Left,67,150,Midfield
K. Mac Allister,20,Argentina,69,LB,1.6,Right,69,159,Defense
V. Rüfli,30,Switzerland,69,RB,750,Right,71,165,Defense
A. Aseri,24,Saudi Arabia,69,CAM,1.4,Left,66,141,Midfield
J. Greguš,27,Slovakia,69,CM,1.1,Right,74,174,Midfield
D. Ward,27,England,69,ST,1.1,Left,71,159,Attack
F. Hartherz,25,Germany,69,LB,1.1,Left,74,183,Defense
Allan,21,Brazil,69,CM,1.6,Left,68,154,Midfield
Luis Felipe,22,United States,69,CDM,1.2,Left,73,165,Midfield
F. Kiss,27,Slovakia,69,RDM,875,Right,73,165,Midfield
U. Ceylan,32,Turkey,69,GK,600,Left,76,187,Defense
P. Filipović,27,Germany,69,CB,1,Left,74,183,Defense
Cifu,27,Spain,69,RWB,875,Right,69,146,Defense
F. Álvarez,25,Argentina,69,CAM,1.4,Right,72,154,Midfield
Caio Tafarell,26,Brazil,69,CDM,925,Right,72,168,Midfield
E. Eze,20,England,69,CAM,2.3,Right,68,148,Midfield
A. Balzano,32,Italy,69,RB,575,Right,69,163,Defense
J. Olsson,35,Sweden,69,RCB,250,Left,76,185,Defense
J. Lefort,24,France,69,LB,1.2,Left,72,183,Defense
I. Höhn,26,Germany,69,CB,1.1,Right,72,159,Defense
J. Gyau,25,United States,69,LM,1.2,Left,69,165,Midfield
M. Al Sahlawi,31,Saudi Arabia,69,ST,950,Right,70,163,Attack
Alberto,25,Spain,69,LCB,1.1,Right,73,172,Defense
Luciano Cacheira,34,Brazil,69,GK,425,Right,71,165,Defense
M. Gaus,28,Germany,69,LB,825,Left,72,176,Defense
C. Lampe,31,Bolivia,69,GK,650,Right,76,190,Defense
A. Vellios,26,Greece,69,ST,1.3,Right,75,172,Attack
J. Sánchez,20,Mexico,69,LB,1.3,Right,69,157,Defense
F. Fielding,30,England,69,GK,675,Right,73,168,Defense
N. Theuerkauf,31,Germany,69,LB,700,Left,72,176,Defense
M. Sadlok,29,Poland,69,LCB,825,Left,73,176,Defense
H. Olvera,28,Mexico,69,LB,825,Left,69,152,Defense
S. Mosquera,24,Colombia,69,CB,1.3,Right,73,170,Defense
V. Kalitvintsev,25,Ukraine,69,RM,1.3,Left,70,150,Midfield
S. Papagiannopoulos,27,Sweden,69,CB,1,Right,75,192,Defense
I. Pettersson,21,Sweden,69,GK,1.4,Left,71,176,Defense
C. Evans,27,Northern Ireland,69,CDM,875,Right,71,152,Midfield
A. Richards,27,Wales,69,RB,875,Right,69,165,Defense
S. Dursun,26,Germany,69,ST,1.3,Right,75,176,Attack
R. Leipertz,25,Germany,69,RM,1.3,Left,72,181,Midfield
R. Pasveer,34,Netherlands,69,GK,425,Right,74,201,Defense
D. Daube,28,Germany,69,CM,1,Right,73,183,Midfield
Iñaki Astiz,34,Spain,69,CB,325,Right,72,170,Defense
S. Bigalke,28,Germany,69,LM,1.1,Right,66,132,Midfield
M. Silvestri,27,Italy,69,GK,700,Right,75,176,Defense
S. Muwashar,29,Saudi Arabia,69,LM,1,Right,69,141,Midfield
A. Powell,23,Jamaica,69,RB,1.2,Right,72,165,Defense
P. Kirkevold,27,Norway,69,LS,1.1,Left,73,198,Attack
S. Roudet,37,France,69,CAM,350,Left,69,157,Midfield
S. Gonther,31,Germany,69,CB,700,Right,73,194,Defense
I. Ghaleb,27,Saudi Arabia,69,RDM,875,Right,69,168,Midfield
P. Sotiriou,25,Cyprus,69,LS,1.4,Right,73,179,Attack
W. Faes,20,Belgium,69,CB,1.5,Right,73,179,Defense
S. Tecl,27,Czech Republic,69,ST,1.1,Right,71,181,Attack
M. Guanini,22,Argentina,69,CB,1.3,Right,75,190,Defense
J. Brix-Damborg,32,Denmark,69,RCM,600,Right,72,170,Midfield
M. de los Santos,25,Uruguay,69,CB,1.1,Right,72,183,Defense
F. Andrada,24,Argentina,69,ST,1.5,Right,71,168,Attack
Z. Youssouf,18,France,69,CM,1.7,Left,72,179,Midfield
S. Ciss,29,Senegal,69,LB,800,Left,68,152,Defense
S. Mockenhaupt,26,Germany,69,RCB,1.1,Right,74,185,Defense
N. Cozza,19,France,69,CB,2,Left,70,159,Defense
M. Valoti,24,Italy,69,CM,1.3,Right,74,161,Midfield
Y. Salmier,25,France,69,LCB,1.1,Right,74,187,Defense
C. Benschop,28,Curacao,69,ST,1.1,Right,75,198,Attack
Gégé,30,Cape Verde,69,LCB,775,Right,72,183,Defense
L. Morosini,22,Italy,69,CAM,1.4,Right,69,154,Midfield
Sandeiro Leal,30,Brazil,69,CAM,1,Right,74,168,Midfield
M. Pongračić,20,Croatia,69,CB,1.8,Right,74,187,Defense
L. Ibáñez,29,Argentina,69,LB,800,Left,67,161,Defense
M. O'Halloran,27,Scotland,69,RW,1.1,Right,71,174,Attack
M. van Duinen,26,Netherlands,69,ST,1.3,Right,73,165,Attack
R. Zwinkels,35,Netherlands,69,GK,250,Right,73,176,Defense
F. Mazzeo,34,Italy,69,LS,550,Left,70,170,Attack
C. Auzqui,27,Argentina,69,RM,1.1,Right,71,163,Midfield
J. Quintero,23,Colombia,69,CB,1.4,Right,72,174,Defense
B. Watson,32,England,69,CDM,600,Right,71,176,Midfield
Gustavo Cascardo,21,Brazil,69,RB,1.3,Right,69,146,Defense
T. Bradshaw,25,Wales,69,ST,1.3,Right,70,157,Attack
J. Pelupessy,25,Netherlands,69,RDM,1.1,Right,68,139,Midfield
J. Fojut,30,Poland,69,CB,775,Right,74,183,Defense
M. Brighi,37,Italy,69,CM,325,Right,70,170,Midfield
L. Boussaha,30,France,69,ST,1,Right,70,170,Attack
D. Bomheuer,27,Germany,69,RCB,1,Right,76,190,Defense
Y. Cabral,26,Argentina,69,LCB,1.2,Right,74,187,Defense
S. Breitkreuz,26,Germany,69,CB,1.1,Right,74,194,Defense
K. Rowe,26,United States,69,RM,1.2,Right,68,154,Midfield
Roldão Riso,26,Brazil,69,CDM,925,Right,70,172,Midfield
C. Rizzuto,26,Germany,69,RWB,1,Right,67,161,Defense
D. van Mieghem,28,Netherlands,69,RS,1.1,Left,67,150,Attack
A. El Messaoudi,22,Morocco,69,LCM,1.2,Right,72,176,Midfield
Y. Cabrera,27,Colombia,69,RAM,1.1,Left,66,132,Midfield
S. Ay,26,Turkey,69,CB,1.1,Right,72,176,Defense
A. Gojak,21,Bosnia Herzegovina,69,LDM,1.6,Right,72,172,Midfield
L. Gülen,24,Switzerland,69,CB,1.2,Right,73,170,Defense
N. Eliasson,22,Sweden,69,RM,1.6,Left,70,159,Midfield
Y. Komai,26,Japan,69,RM,1.2,Right,66,141,Midfield
S. Marinos,30,Greece,69,RB,750,Right,70,159,Defense
D. Verhulst,30,Belgium,69,GK,675,Right,76,209,Defense
Núrio,23,Angola,69,LB,1.2,Left,70,161,Defense
S. Sparagna,23,France,69,CB,1.2,Right,73,181,Defense
M. Prietl,26,Austria,69,RDM,1.1,Right,74,174,Midfield
Nono,27,Spain,69,LM,1.1,Right,67,139,Midfield
J. Berget,27,Norway,69,ST,1.1,Right,73,179,Attack
M. Jacobs,26,England,69,LM,1.1,Right,69,163,Midfield
J. Brillante,25,Australia,69,RCM,1.2,Right,70,161,Midfield
P. van Anholt,27,Netherlands,69,RB,875,Right,67,154,Defense
P. Ziereis,25,Germany,69,RCB,1.1,Right,74,181,Defense
R. Bezjak,29,Slovenia,69,ST,1.1,Right,70,154,Attack
A. Vega,20,Mexico,69,RS,2.3,Right,68,170,Attack
S. Bentivoglio,33,Italy,69,CDM,625,Right,72,165,Midfield
Juan Muñoz,22,Spain,69,ST,1.4,Right,72,168,Attack
Linares,35,Spain,69,ST,475,Right,71,172,Attack
S. De Petter,32,Belgium,69,CB,600,Left,72,165,Defense
Renatao Baumer,34,Brazil,69,LB,300,Left,70,168,Defense
A. Ivan,21,Romania,69,LM,1.5,Right,74,179,Midfield
I. Šunjić,21,Croatia,69,CDM,1.3,Right,72,165,Midfield
S. Andrist,30,Switzerland,69,RM,1,Right,69,157,Midfield
Q. Cornette,24,France,69,RM,1.3,Right,68,165,Midfield
Carvamelinho,34,Brazil,69,RB,300,Right,70,165,Defense
R. Oudin,21,France,69,RM,1.5,Left,73,174,Midfield
C. Stengs,19,Netherlands,69,RW,2.3,Left,74,150,Attack
I. González,33,Mexico,69,CB,425,Left,72,185,Defense
S. Dallas,27,Northern Ireland,69,LM,1.1,Right,72,179,Midfield
S. Walsh,23,Netherlands,69,RDM,1.2,Right,71,161,Midfield
U. Radaković,24,Serbia,69,LCB,1.2,Right,76,196,Defense
P. Schobesberger,24,Austria,69,LM,1.3,Right,69,141,Midfield
Jaimosa Cavaco,30,Brazil,69,RB,750,Right,66,132,Defense
M. Turner,24,United States,69,GK,1.2,Right,75,174,Defense
Alfaro,31,Spain,69,RM,925,Right,69,161,Midfield
M. Havel,23,Czech Republic,69,LB,1.2,Right,72,172,Defense
J. Hegeler,30,Germany,69,CB,775,Right,76,190,Defense
M. Fares,22,Algeria,69,LM,1.5,Left,72,165,Midfield
C. Techera,26,Uruguay,69,RM,1.2,Left,62,150,Midfield
F. Tomori,20,England,69,LCB,1.6,Right,73,165,Defense
H. Takahashi,30,Japan,69,RDM,775,Right,72,165,Midfield
A. Rivas,33,Colombia,69,CDM,425,Right,71,161,Midfield
J. Mosquera,28,Colombia,69,LM,1.1,Left,73,172,Midfield
A. Linde,24,Sweden,69,GK,1,Right,77,205,Defense
C. Bonilla,25,Colombia,69,GK,925,Right,74,176,Defense
Diego Capel,30,Spain,69,LM,1,Left,68,148,Midfield
Leandrinho,24,Brazil,69,CAM,1.4,Right,70,154,Midfield
Susaeta,33,Spain,69,RM,625,Right,70,163,Midfield
M. Zimmermann,26,Germany,69,RB,1.1,Right,70,168,Defense
E. Demir,28,Sweden,69,LB,825,Left,70,154,Defense
Marco Sangalli,26,Spain,69,RM,1.2,Right,70,146,Midfield
T. Hayashi,35,Japan,69,GK,250,Right,74,192,Defense
R. Bormuth,22,Germany,69,RCB,1.3,Right,75,192,Defense
E. Hernández,31,Mexico,69,LB,700,Left,65,159,Defense
B. Martella,25,Italy,69,LM,1.1,Left,72,172,Midfield
E. Oikonomou,30,Greece,69,CB,775,Left,73,194,Defense
L. Choutesiotis,23,Greece,69,GK,1.1,Right,73,190,Defense
J. Blaswich,27,Germany,69,GK,925,Right,76,194,Defense
J. Huth,24,Germany,69,GK,1.2,Right,73,176,Defense
I. Sackey,24,Ghana,69,RDM,1.3,Right,75,194,Midfield
Jang Hyeon Soo,26,Korea Republic,69,RCB,1,Right,74,170,Defense
A. Rosati,35,Italy,69,GK,250,Right,77,179,Defense
J. Cabrera,26,Uruguay,69,RW,1.2,Right,66,139,Attack
Anderson Lopes,24,Brazil,69,ST,1.4,Left,73,181,Attack
N. Byrne,26,England,69,RM,1.1,Right,68,154,Midfield
A. Trajkovski,25,FYR Macedonia,69,LF,1.3,Right,71,172,Attack
Alex Geijo,36,Spain,69,ST,375,Right,74,179,Attack
Iván Sánchez,25,Spain,69,RM,1.2,Left,69,141,Midfield
J. Carranza,37,Argentina,69,GK,70,Right,74,194,Defense
E. Ocansey,20,Ghana,69,RM,1.6,Left,68,157,Midfield
B. Uphoff,24,Germany,69,GK,1,Right,76,185,Defense
Wu Xi,29,China PR,69,LCM,1,Right,71,165,Midfield
C. Skuse,32,England,69,RDM,600,Right,73,159,Midfield
E. Rexhbeçaj,20,Kosovo,69,CM,1.8,Left,72,161,Midfield
G. Åsen,27,Norway,69,LCM,1.2,Left,72,157,Midfield
M. Laba,26,Argentina,69,CDM,1.1,Right,69,154,Midfield
G. Carabajal,26,Argentina,69,RDM,1.1,Right,70,165,Midfield
T. Fontaine,27,Madagascar,69,CB,875,Left,72,183,Defense
J. Villafaña,28,United States,69,LB,825,Left,69,150,Defense
B. Tashchy,24,Ukraine,69,LS,1.4,Right,76,198,Attack
J. Vaughan,29,England,69,ST,1.1,Right,72,183,Attack
J. Moya,25,Colombia,69,CB,1.1,Right,73,170,Defense
N. Sangaré,24,Turkey,69,RB,1.2,Right,73,159,Defense
Kim Kwang Suk,35,Korea Republic,69,LCB,250,Right,72,161,Defense
M. Rojas,26,New Zealand,69,LW,1.1,Right,66,141,Attack
E. Taşkıran,28,Turkey,69,GK,875,Right,75,183,Defense
M. Gersbeck,23,Germany,69,GK,1.2,Left,74,176,Defense
U. Çiftçi,26,Turkey,69,LB,1.1,Left,71,161,Defense
Lucas Galvão,27,Brazil,69,CB,1.1,Left,72,170,Defense
B. Riascos,23,Colombia,69,ST,1.4,Right,72,172,Attack
E. Saveljich,27,Montenegro,69,LCB,1.1,Right,73,176,Defense
Tang Miao,27,China PR,69,RB,875,Right,70,163,Defense
J. Mees,22,Germany,69,LW,1.6,Right,71,161,Attack
O. Fernández,25,Colombia,69,RCM,1.3,Right,65,132,Midfield
Jeffrén,30,Venezuela,69,RM,1,Left,68,159,Midfield
K. Manneh,23,United States,69,LM,1.5,Right,69,150,Midfield
G. Larsonneur,21,France,69,GK,1.4,Right,71,152,Defense
O. Kúdela,31,Czech Republic,69,RCB,700,Right,72,172,Defense
E. Bourgaud,30,France,69,RM,1,Left,70,170,Midfield
P. Huspek,27,Austria,69,RM,1.1,Right,68,152,Midfield
G. Maluleka,29,South Africa,69,CM,1,Right,67,168,Midfield
T. Jurić,26,Australia,69,ST,1.3,Right,75,187,Attack
F. Scaglia,26,Italy,69,CB,1.1,Right,75,194,Defense
David Rodríguez,32,Spain,69,ST,850,Right,70,165,Attack
C. Dibon,27,Austria,69,CB,1,Right,72,174,Defense
R. Petretta,21,Italy,69,LB,2.1,Left,69,154,Defense
M. Scozzarella,30,Italy,69,CM,975,Right,69,143,Midfield
M. Kaye,23,Canada,69,CM,1.4,Left,73,170,Midfield
Y. Toyokawa,23,Japan,69,CF,1.4,Right,67,141,Attack
L. Bittante,24,Italy,69,RB,1,Right,72,165,Defense
E. Velarde,32,Mexico,69,LB,575,Left,69,154,Defense
D. Jones,33,England,69,CM,625,Left,72,176,Midfield
M. Cahais,30,Argentina,69,CB,775,Left,73,176,Defense
M. Olivera,20,Uruguay,69,LB,1.4,Left,72,172,Defense
M. Sax,25,Austria,69,RM,1.2,Right,70,154,Midfield
A. Mühling,25,Germany,69,RCM,1.3,Right,73,185,Midfield
P. Bråtveit,22,Norway,69,GK,1.1,Right,72,159,Defense
F. Píriz,28,Uruguay,69,CDM,950,Right,74,179,Midfield
Ricardo Lopes,27,Brazil,69,LM,1.1,Left,72,172,Midfield
P. Hamel,24,France,69,ST,1.4,Right,73,148,Attack
K. Mączyński,31,Poland,69,CDM,700,Right,69,146,Midfield
R. Pröpper,24,Netherlands,69,CB,1.2,Right,76,185,Defense
C. N'Doye,32,Senegal,69,RCM,800,Right,76,198,Midfield
Fernando Karanga,27,Brazil,69,LS,1.2,Right,72,161,Attack
C. Carter-Vickers,20,United States,69,CB,2.1,Right,72,203,Defense
E. Cobbaut,20,Belgium,69,LB,1.5,Left,74,183,Defense
M. Dąbrowski,31,Poland,69,RCB,700,Right,76,194,Defense
F. Picault,27,United States,69,LM,1.1,Right,68,141,Midfield
L. Dickmann,21,Italy,69,RB,1.4,Right,70,154,Defense
Luis Pérez,23,Spain,69,RB,1.3,Right,68,150,Defense
A. Barkok,20,Germany,69,RM,1.9,Right,74,165,Midfield
M. Watkins,27,Wales,69,RM,1.1,Right,70,143,Midfield
H. Arslan,29,Turkey,69,CAM,825,Right,73,168,Midfield
A. Camargo,29,Argentina,69,RCM,1,Right,69,150,Midfield
F. Müller,20,Germany,69,GK,1.9,Left,76,187,Defense
B. Behrendt,26,Germany,69,CB,1.1,Right,74,187,Defense
L. Zingerle,24,Germany,69,GK,1,Right,73,172,Defense
Mei Fang,28,China PR,69,CB,850,Right,72,163,Defense
M. Svanberg,19,Sweden,69,LM,2.3,Right,73,170,Midfield
D. Bernhardt,32,Germany,69,GK,600,Right,74,187,Defense
K. D'Haene,28,Belgium,69,LM,825,Left,66,139,Midfield
J. Malagón,25,Colombia,69,RCB,1.2,Right,74,170,Defense
Paulo Fajarda,26,Brazil,69,CB,925,Right,71,172,Defense
Germán,31,Spain,69,RCB,700,Right,74,181,Defense
B. Idowu,26,Nigeria,69,LWB,1.1,Right,70,168,Defense
Toché,35,Spain,69,ST,475,Right,73,172,Attack
Hélder Ferreira,21,Portugal,69,RM,1.5,Right,71,154,Midfield
S. Morsy,26,Egypt,69,CDM,1.1,Right,68,165,Midfield
T. Antonis,24,Australia,69,LM,1.2,Right,71,163,Midfield
M. Duffy,23,Northern Ireland,69,LM,1.4,Right,70,165,Midfield
A. Ndour,24,Senegal,69,LB,1.1,Left,73,154,Defense
Rafael Costa,27,Brazil,69,CM,1.2,Left,72,174,Midfield
K. Walker-Peters,21,England,69,RB,1.6,Right,69,141,Defense
C. Luna,36,Argentina,69,ST,375,Right,70,181,Attack
J. Bidwell,25,England,69,LB,1.1,Left,72,154,Defense
F. Noguera,25,Argentina,69,LCB,1.2,Right,76,214,Defense
T. Weah,18,United States,69,LM,2.2,Right,73,146,Midfield
J. Paganoni,29,Mexico,69,RB,800,Right,67,143,Defense
A. Collin,32,France,69,CB,600,Right,74,190,Defense
Ripa,32,Spain,69,LB,575,Left,70,161,Defense
Galán,32,Spain,69,RB,575,Right,71,174,Defense
M. Bolados,22,Chile,69,RW,1.5,Right,66,159,Attack
Sandro Maceira,26,Brazil,69,CAM,1.1,Right,70,163,Midfield
R. Ibarra,23,Ecuador,69,LM,1.4,Right,69,168,Midfield
N. Al Shamrani,34,Saudi Arabia,69,RS,550,Right,69,154,Attack
R. Holmes,31,England,69,LM,925,Right,68,165,Midfield
J. Cordoval,28,France,69,RB,825,Right,66,148,Defense
M. Radović,34,Serbia,69,CAM,525,Right,72,172,Midfield
G. Zigoni,27,Italy,69,LS,1.2,Right,74,176,Attack
J. Corona,27,United States,69,CM,1.1,Right,70,159,Midfield
W. Bruin,28,United States,69,ST,1.1,Right,74,194,Attack
J. Glad,21,United States,69,LCB,1.3,Right,73,159,Defense
D. Gordon,33,Jamaica,69,RCB,425,Right,76,187,Defense
P. Rodríguez,28,Argentina,69,LW,1.1,Right,67,132,Attack
E. Konsa,20,England,69,RCB,1.6,Right,72,170,Defense
O. Darfalou,24,Algeria,69,ST,1.4,Right,74,181,Attack
L. Murphy,28,England,69,CM,1,Right,73,163,Midfield
Chuli,27,Spain,69,LS,1.2,Left,67,130,Attack
D. Suzuki,28,Japan,69,RCB,850,Right,72,163,Defense
A. Gholizadeh,22,Iran,69,RM,1.5,Left,69,152,Midfield
I. Ouali,30,Algeria,69,LW,1,Left,69,154,Attack
B. Holman,34,Australia,69,CAM,525,Right,70,165,Midfield
J. Gyamerah,23,Germany,69,RCB,1.3,Right,72,170,Defense
Cai Huikang,28,China PR,69,CM,850,Right,72,181,Midfield
M. Pittón,23,Argentina,69,LCM,1.4,Right,69,154,Midfield
T. Kuszczak,36,Poland,69,GK,140,Right,75,185,Defense
L. Blessing,21,Ghana,69,RW,1.7,Right,65,141,Attack
D. Meyler,29,Republic of Ireland,69,CDM,825,Right,75,179,Midfield
J. Czerwiński,26,Poland,69,RCB,1,Right,72,165,Defense
R. Vilchis,28,Mexico,69,LM,1.1,Right,65,146,Midfield
G. Valsvik,25,Norway,69,LCB,1.1,Left,77,201,Defense
J. Hobbs,29,England,69,RCB,825,Right,75,187,Defense
R. Gíslason,30,Iceland,69,ST,1,Right,72,172,Attack
C. M'Bengue,29,Senegal,69,LB,800,Left,72,174,Defense
I. Jiménez,28,Mexico,69,RB,825,Right,69,157,Defense
A. Al Khaibari,32,Saudi Arabia,69,CDM,600,Right,70,161,Midfield
S. Yatabaré,29,Mali,69,CM,1,Right,75,183,Midfield
J. Lowe,26,England,69,LDM,1.1,Right,69,176,Midfield
E. Jelenič,25,Slovenia,69,RM,1.2,Right,71,163,Midfield
M. Abero,28,Uruguay,69,LB,825,Left,72,179,Defense
A. Teikeu,28,Cameroon,69,LCB,1,Left,74,196,Defense
E. Castillo,31,United States,69,LB,700,Left,67,170,Defense
M. Wagué,19,Senegal,69,RB,1.6,Right,70,154,Defense
P. Klandt,34,Germany,69,GK,425,Right,72,179,Defense
Farley,24,Brazil,69,LM,1.4,Right,70,143,Midfield
Luís Martins,26,Portugal,69,LB,1,Left,70,148,Defense
S. Riether,35,Germany,69,RB,230,Right,69,159,Defense
L. Diarte,25,Argentina,69,LB,1.2,Left,69,161,Defense
G. Bojanich,33,Argentina,69,LCB,425,Right,75,187,Defense
B. Mansilla,21,Argentina,69,LM,2.3,Left,71,174,Midfield
Fran Villalba,20,Spain,69,LCM,1.7,Right,66,143,Midfield
L. Peltier,31,England,69,RB,700,Right,70,161,Defense
M. Knaller,31,Austria,69,GK,650,Right,76,190,Defense
Baena,29,Spain,69,CDM,825,Right,71,159,Midfield
P. Ziegler,28,Germany,69,CB,850,Right,74,174,Defense
S. Wangberg,27,Norway,69,CB,1.1,Right,74,187,Defense
N. Thomsen,25,Denmark,69,LM,1.3,Right,71,165,Midfield
D. Boer,37,Netherlands,69,GK,70,Right,76,196,Defense
D. Hernández,25,Colombia,69,RM,1.2,Left,69,143,Midfield
